--------- beginning of system
--------- beginning of main
04-20 21:06:45.199  6648  6648 E d.configupdate: Not starting debugger since process cannot load the jdwp agent.
04-20 21:06:45.211  6659  6659 E oid.apps.photo: Not starting debugger since process cannot load the jdwp agent.
04-20 21:06:49.325  6734  6734 E calmarketmobil: Not starting debugger since process cannot load the jdwp agent.
04-20 21:06:49.603  6734  6734 E SoLoader: Checking /data/app missing libraries.
04-20 21:06:49.603  6734  6734 E SoLoader: Successfully recovered from /data/app disk failure.
04-20 21:06:49.603  6734  6734 E SoLoader: Checking /data/data missing libraries.
04-20 21:06:49.603  6734  6734 E SoLoader: No libraries missing from unpacking so paths while recovering /data/data failure
--------- beginning of crash
04-20 21:06:49.604  6734  6734 E AndroidRuntime: FATAL EXCEPTION: main
04-20 21:06:49.604  6734  6734 E AndroidRuntime: Process: com.localmarketmobile, PID: 6734
04-20 21:06:49.604  6734  6734 E AndroidRuntime: com.facebook.soloader.SoLoaderDSONotFoundError: couldn't find DSO to load: libhermestooling.so
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 	existing SO sources: 
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 		SoSource 0: ApplicationSoSource[DirectorySoSource[root = /data/app/~~evVUOroSi_7C_PqYoOAvNQ==/com.localmarketmobile-L88Le1T5DubHWcxLE1e4_Q==/lib/arm64 flags = 0]]
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 		SoSource 1: DirectApkSoSource[root = [/data/app/~~evVUOroSi_7C_PqYoOAvNQ==/com.localmarketmobile-L88Le1T5DubHWcxLE1e4_Q==/base.apk!/lib/arm64-v8a]]
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 		SoSource 2: DirectorySoSource[root = /system/lib64 flags = 3]
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 		SoSource 3: DirectorySoSource[root = /vendor/lib64 flags = 3]
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 	Native lib dir: /data/app/~~evVUOroSi_7C_PqYoOAvNQ==/com.localmarketmobile-L88Le1T5DubHWcxLE1e4_Q==/lib/arm64
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 	at com.facebook.soloader.SoLoader.doLoadLibraryBySoName(SoLoader.java:1216)
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 	at com.facebook.soloader.SoLoader.loadLibraryBySoNameImpl(SoLoader.java:1078)
04-20 21:06:49.604  6734  6734 E AndroidRuntime: 	at com.facebook.soloader.SoLoader.loadLibraryBySoName(SoLoader.java:943)
